$METADATA
$Version 1.1
$Project; FerryBox
$Device; 731803
$DateTime; 2021.12.10 00:00:01
$Filename; C:\Working\All_sensors_731803_2021-12-10.txt
$Watertimedelay; 00:01:00
$TrackStart: Unknown
$TrackEnd: Unknown
$FORMATS
$1; DateTime; YYYY.MM.DD hh:mm:ss
$2; Measdata; Float


$DATASETS
Units	Deg	Deg	Nm		Deg		m		ml/l		%		DegC		ml/l		mbar		l/min		l/min		l/min		l/min		l/min		l/min		l/min		bool		bool		pH		DegC		DegC		DegC		S/m		psu		m/s		mbar		mbar		DegC		ppm		uatm		ppm		uatm		uatm		PSU		pH		µg/l		NTU		DegC		µg/l		DegC		µg/l		ppb	
Date Time	Latitude	Longitude	Speed	Quality	Course	Quality	Height	Quality	Optode_O2Concentration	Quality	Optode_AirSaturation	Quality	Optode_Temperature	Quality	O2_Corr	Quality	pressure	Quality	flow_in	Quality	flow_main	Quality	flow_FLNTU	Quality	flow_OSCAR	Quality	flow_pCO2	Quality	flow_IFCB	Quality	flow_EXTERN	Quality	halffull	Quality	full	Quality	pH	Quality	pH_Temp	Quality	SBE38_Temp	Quality	SBE45_Temp	Quality	SBE45_Cond	Quality	SBE45_Salinity	Quality	SBE45_SoundVel	Quality	HydroC_P_NDIR	Quality	HydroC_P_In	Quality	HydroC_T_Sensor	Quality	HydroC_Conc_Estimate	Quality	HydroC_pCO2_Corr	Quality	HydroC_XCO2_Corr	Quality	HydroC_Corr_Zero	Quality	HydroC_pCO2_Comp	Quality	HydroFIA_salinity	Quality	HydroFIA_pH	Quality	WetLabs_Chlorophyll-A	Quality	WetLabs_Turbidity	Quality	nanoFlu_A_Sens_Temp	Quality	nanoFlu_A_blue	Quality	nanoFlu_B_Sens_Temp	Quality	nanoFlu_B_CDOM	Quality	Cycl_Phycoerythrin	Quality
2021.12.09 23:59:00	61.661244	20.130577	11.036923	0	352.533742	0	-1.438650	0	7.665790	0	85.891500	0	5.027833	0	7.388528	0	155.250000	0	30.133855	0	5.206778	0	0.498822	0	0.212598	0	2.119678	0	-0.001996	0	41.316742	0	1.000000	0	1.000000	0	7.957508	0	0.000000	0	4.838458	0	5.116291	0	0.617385	0	5.567476	0	1433.871483	0	1013.297458	0	1002.991525	0	458.941847	0	456.498305	0	461.166271	0	50.001373	0	99999.000000	1	0.000000	0	26.000000	0	7.729000	0	0.366525	0	3.574277	0	17.073321	0	2.953375	0	16.062000	0	10.689446	0	14.320227	10
2021.12.10 00:00:00	61.664414	20.129813	11.224924	0	353.170732	0	-1.375000	0	7.665255	0	85.890333	0	5.029917	0	7.387804	0	157.083333	0	30.098394	0	5.195309	0	0.706840	0	0.319812	0	2.148601	0	-0.001996	0	41.335224	0	1.000000	0	1.000000	0	7.957641	0	0.000000	0	4.836032	0	5.117926	0	0.617456	0	5.567879	0	1433.879259	0	1022.010000	0	1001.920000	0	83.334919	0	456.706364	0	157.390000	0	49.999378	0	99999.000000	1	0.000000	0	26.000000	0	7.729000	0	0.365493	0	3.571982	0	17.075571	0	2.912446	0	16.062000	0	10.679714	0	13.522826	10
2021.12.10 00:01:00	61.667592	20.129065	11.018293	0	352.996951	0	-1.365854	0	7.665452	0	85.894583	0	5.030917	0	7.388128	0	154.354167	0	30.128868	0	5.195309	0	0.706840	0	0.319812	0	2.148601	0	-0.001996	0	41.335224	0	1.000000	0	1.000000	0	7.958465	0	0.000000	0	4.839346	0	5.118998	0	0.617523	0	5.568347	0	1433.884610	0	1025.883500	0	1001.667000	0	-75.952067	0	66666.000000	1	28.653000	0	50.000883	0	66666.000000	1	0.000000	0	26.000000	0	7.729000	0	0.372161	0	3.560070	0	17.073321	0	2.983054	0	16.056464	0	10.684071	0	7.903043	10
2021.12.10 00:02:00	61.670764	20.128327	11.080745	0	353.173913	0	-1.288820	0	7.664255	0	85.884667	0	5.032500	0	7.387186	0	154.333333	0	30.049636	0	5.193979	0	0.405583	0	0.268615	0	2.153920	0	-0.001830	0	41.256645	0	1.000000	0	1.000000	0	7.958524	0	0.000000	0	4.830082	0	5.120229	0	0.617620	0	5.569097	0	1433.891086	0	1015.870943	16384	1004.354528	16384	173.980094	16384	99999.000000	1	190.581509	16384	50.004434	16384	202.042041	0	0.000000	0	26.000000	0	7.729000	0	0.371215	0	3.559900	0	17.085661	0	3.009821	0	16.044286	0	10.654768	0	22.328478	10
2021.12.10 00:03:00	61.673913	20.127574	11.012232	0	353.003058	0	-1.547401	0	7.667428	0	85.915000	0	5.030000	0	7.389708	0	156.104167	0	30.090637	0	5.204285	0	0.476561	0	0.541554	0	2.148767	0	-0.001996	0	41.186001	0	1.000000	0	1.000000	0	7.958640	0	0.000000	0	4.814716	0	5.117148	0	0.617603	0	5.569441	0	1433.877879	0	1014.745833	16384	1004.404500	16384	296.062417	16384	99999.000000	1	284.925000	16384	50.000817	16384	282.437667	0	0.000000	0	26.000000	0	7.729000	0	0.368351	0	3.560070	0	17.071071	0	3.128464	0	16.037643	0	10.730036	0	71.135217	10
2021.12.10 00:04:00	61.677085	20.126799	11.112805	0	352.710366	0	-1.817073	0	7.674528	0	85.969500	0	5.018750	0	7.395510	0	156.208333	0	30.118341	0	5.203786	0	0.466089	0	0.539892	0	2.148103	0	-0.001996	0	41.360535	0	1.000000	0	1.000000	0	7.959201	0	0.000000	0	4.797577	0	5.106222	0	0.617451	0	5.569779	0	1433.830190	0	1014.706167	16384	1004.351500	16384	329.273533	16384	66666.000000	1	317.607833	16384	50.000333	16384	314.818167	0	0.000000	0	26.000000	0	7.729000	0	0.361354	0	3.557821	0	17.088069	0	3.110345	0	16.057724	0	10.717776	0	16.143913	10
2021.12.10 00:05:00	61.680246	20.126000	11.068111	0	352.752322	0	-1.857585	0	7.684640	0	86.047083	0	5.002917	0	7.405322	0	155.291667	0	30.170424	0	5.200129	0	0.345244	0	0.498668	0	2.150596	0	-0.001830	0	41.343913	0	1.000000	0	1.000000	0	7.959035	0	0.000000	0	4.786916	0	5.090319	0	0.617225	0	5.570255	0	1433.760741	0	1014.642712	16384	1004.308814	16384	354.373322	16384	99999.000000	1	343.425593	16384	49.999627	16384	340.395424	0	0.000000	0	26.000000	0	7.729000	0	0.359142	0	3.569430	0	17.090276	0	2.908690	0	16.057724	0	10.658810	0	18.924783	10
2021.12.10 00:06:00	61.683421	20.125259	11.225904	0	353.936747	0	-1.930723	0	7.684944	0	86.021000	0	4.989417	0	7.407857	0	153.942308	0	30.062166	0	5.199055	0	0.513091	0	0.346459	0	2.155941	0	-0.001996	0	41.178648	0	1.000000	0	1.000000	0	7.958751	0	0.000000	0	4.770599	0	5.076897	0	0.617028	0	5.570612	0	1433.701983	0	1014.605500	16384	1004.254000	16384	373.858250	16384	66666.000000	1	364.106667	16384	50.000283	16384	360.873000	0	0.000000	0	26.000000	0	7.729000	0	0.358121	0	3.555223	0	17.077786	0	3.150321	0	16.054250	0	10.753411	0	13.382283	10
2021.12.10 00:07:00	61.686594	20.124581	11.089820	0	352.901198	0	-1.535928	0	7.683059	0	85.976833	0	4.979167	0	7.404596	0	154.522727	0	30.106756	0	5.200492	0	0.314614	0	0.338187	0	2.144279	0	-0.001815	0	41.353357	0	1.000000	0	1.000000	0	7.958821	0	0.000000	0	4.733343	0	5.066288	0	0.616834	0	5.570497	0	1433.655138	0	1014.529667	16384	1004.193000	16384	389.842483	16384	66666.000000	1	381.517000	16384	49.998833	16384	378.106833	0	0.000000	0	26.000000	0	7.729000	0	0.362318	0	3.549009	0	17.075571	0	3.042321	0	16.045393	0	10.716946	0	7.553152	10
