$METADATA
$Version 1.1
$Project; FerryBox
$Device; 731803
$DateTime; 2021.12.15 00:00:01
$Filename; C:\Working\All_sensors_731803_2021-12-15.txt
$Watertimedelay; 00:01:00
$TrackStart: Unknown
$TrackEnd: Unknown
$FORMATS
$1; DateTime; YYYY.MM.DD hh:mm:ss
$2; Measdata; Float


$DATASETS
Units	Deg	Deg	Nm		Deg		m		ml/l		%		DegC		ml/l		mbar		l/min		l/min		l/min		l/min		l/min		l/min		l/min		bool		bool		pH		DegC		DegC		DegC		S/m		psu		m/s		mbar		mbar		DegC		ppm		uatm		ppm		uatm		uatm		PSU		pH		µg/l		NTU		DegC		µg/l		DegC		µg/l		ppb	
Date Time	Latitude	Longitude	Speed	Quality	Course	Quality	Height	Quality	Optode_O2Concentration	Quality	Optode_AirSaturation	Quality	Optode_Temperature	Quality	O2_Corr	Quality	pressure	Quality	flow_in	Quality	flow_main	Quality	flow_FLNTU	Quality	flow_OSCAR	Quality	flow_pCO2	Quality	flow_IFCB	Quality	flow_EXTERN	Quality	halffull	Quality	full	Quality	pH	Quality	pH_Temp	Quality	SBE38_Temp	Quality	SBE45_Temp	Quality	SBE45_Cond	Quality	SBE45_Salinity	Quality	SBE45_SoundVel	Quality	HydroC_P_NDIR	Quality	HydroC_P_In	Quality	HydroC_T_Sensor	Quality	HydroC_Conc_Estimate	Quality	HydroC_pCO2_Corr	Quality	HydroC_XCO2_Corr	Quality	HydroC_Corr_Zero	Quality	HydroC_pCO2_Comp	Quality	HydroFIA_salinity	Quality	HydroFIA_pH	Quality	WetLabs_Chlorophyll-A	Quality	WetLabs_Turbidity	Quality	nanoFlu_A_Sens_Temp	Quality	nanoFlu_A_blue	Quality	nanoFlu_B_Sens_Temp	Quality	nanoFlu_B_CDOM	Quality	Cycl_Phycoerythrin	Quality
2021.12.14 23:59:00	57.096100	19.916851	11.000000	0	194.395480	0	-3.980226	0	7.386880	0	85.933500	0	6.503083	0	7.035927	0	154.041667	0	29.840195	0	5.208440	0	0.876494	0	0.108542	0	2.116354	0	-0.000833	0	40.762131	0	1.000000	0	1.000000	0	8.008748	0	0.000000	0	6.289762	0	6.606341	0	0.844284	0	7.453172	0	1442.687207	0	1014.800500	0	1004.161500	0	477.373283	0	482.064833	0	486.427667	0	49.999983	0	66666.000000	1	0.000000	0	26.000000	0	7.729000	0	0.309923	0	3.930202	0	19.798714	0	3.181732	0	18.687000	0	7.029179	0	5.881250	0
2021.12.15 00:00:00	57.093112	19.915348	11.000000	0	194.855956	0	-3.983380	0	7.387468	0	85.949083	0	6.507167	0	7.036007	0	157.083333	0	29.889508	0	5.217583	0	0.830450	0	0.055018	0	2.176194	0	-0.000168	0	40.620841	0	1.000000	0	1.000000	0	8.009766	0	0.000000	0	6.359922	0	6.609152	0	0.844355	0	7.453238	0	1442.699172	0	1022.781892	0	1005.850270	0	85.846568	0	481.942727	0	163.467027	0	50.002000	0	99999.000000	1	0.000000	0	26.000000	0	7.729000	0	0.312548	0	3.921571	0	19.796500	0	3.259357	0	18.687000	0	7.044268	0	5.891875	10
2021.12.15 00:01:00	57.090121	19.913872	11.000000	0	194.187151	0	-3.539106	0	7.372543	0	85.876667	0	6.554250	0	7.023445	0	155.770833	0	29.838533	0	5.213427	0	0.831448	0	0.067818	0	2.178355	0	-0.000334	0	40.674864	0	1.000000	0	1.000000	0	8.010864	0	0.000000	0	6.385858	0	6.657741	0	0.845819	0	7.456540	0	1442.908500	0	1026.357167	0	1006.868000	0	-80.025317	0	99999.000000	1	26.775167	0	49.999850	0	99999.000000	1	0.000000	0	26.000000	0	7.729000	0	0.310558	0	3.917439	0	19.792071	0	2.925786	0	18.687000	0	6.957807	0	5.760625	0
2021.12.15 00:02:00	57.087138	19.912399	10.983333	0	195.752778	0	-3.716667	0	7.363551	0	85.847750	0	6.589250	0	7.013775	0	154.750000	0	29.898373	0	5.205781	0	0.819978	0	0.238363	0	2.174532	0	-0.000168	0	40.658241	0	1.000000	0	1.000000	0	8.011084	0	0.000000	0	6.438613	0	6.691569	0	0.846782	0	7.458310	0	1443.053466	0	1017.591373	16384	1006.140980	16384	176.130039	16384	66666.000000	1	194.309216	16384	50.002686	16384	207.066809	0	0.000000	0	26.000000	0	7.729000	0	0.302852	0	3.911179	0	19.788750	0	3.217607	0	18.687000	0	7.014411	0	5.746250	0
2021.12.15 00:03:00	57.084187	19.910679	10.983425	0	197.784530	0	-3.080110	0	7.350273	0	85.797000	0	6.637917	0	7.001868	0	155.354167	0	29.896711	0	5.215422	0	0.895610	0	0.164393	0	2.181181	0	-0.000002	0	40.712264	0	1.000000	0	1.000000	0	8.015137	0	0.000000	0	6.436775	0	6.740500	0	0.847819	0	7.457483	0	1443.258655	0	1016.593833	16384	1005.957333	16384	306.576150	16384	99999.000000	1	296.487833	16384	50.000633	16384	294.354500	0	0.000000	0	26.000000	0	7.729000	0	0.307065	0	3.937860	0	19.787607	0	3.299196	0	18.687000	0	6.935000	0	5.797500	10
2021.12.15 00:04:00	57.081238	19.908893	11.000000	0	197.739011	0	-3.000000	0	7.345121	0	85.784167	0	6.659917	0	6.995214	0	155.250000	0	29.872332	0	5.225728	0	0.887299	0	0.243017	0	2.182012	0	-0.000168	0	40.683175	0	1.000000	0	1.000000	0	8.016935	0	0.000000	0	6.439580	0	6.761157	0	0.848251	0	7.457083	0	1443.345103	0	1016.629333	16384	1005.987667	16384	340.418817	16384	66666.000000	1	330.547000	16384	50.000383	16384	328.178167	0	0.000000	0	26.000000	0	7.729000	0	0.301882	0	3.989125	0	19.789821	0	3.143054	0	18.687000	0	6.896732	0	5.727500	0
2021.12.15 00:05:00	57.078318	19.907129	11.000000	0	197.479564	0	-2.967213	0	7.347446	0	85.817083	0	6.662667	0	6.998781	0	155.083333	0	29.909455	0	5.206446	0	0.823303	0	0.056514	0	2.171041	0	-0.000002	0	40.799531	0	1.000000	0	1.000000	0	8.017711	0	0.000000	0	6.438921	0	6.763378	0	0.848311	0	7.457155	0	1443.354569	0	1016.657000	16384	1006.025167	16384	366.598483	16384	99999.000000	1	358.077000	16384	50.000900	16384	355.523000	0	0.000000	0	26.000000	0	7.729000	0	0.302852	0	4.046286	0	19.792071	0	3.174554	0	18.687000	0	6.884714	0	5.583750	0
2021.12.15 00:06:00	57.075366	19.905377	11.000000	0	197.644444	0	-3.000000	0	7.345297	0	85.803333	0	6.667833	0	6.996059	0	154.041667	0	29.877872	0	5.215255	0	0.886800	0	0.201794	0	2.177025	0	-0.000002	0	40.637463	0	1.000000	0	1.000000	0	8.017156	0	0.000000	0	6.442991	0	6.768560	0	0.848552	0	7.458310	0	1443.377914	0	1016.664167	16384	1006.020833	16384	386.833117	16384	99999.000000	1	380.049833	16384	49.999267	16384	377.336833	0	0.000000	0	26.000000	0	7.729000	0	0.301984	0	4.043368	0	19.796500	0	3.068000	0	18.687000	0	6.915054	0	5.676250	0
2021.12.15 00:07:00	57.072437	19.903599	10.983651	0	197.294278	0	-3.000000	0	7.350131	0	85.851917	0	6.664250	0	7.000283	0	154.937500	0	29.917212	0	5.211599	0	0.879486	0	0.276428	0	2.170044	0	-0.000002	0	40.845243	0	1.000000	0	1.000000	0	8.013650	0	0.000000	0	6.471355	0	6.764722	0	0.848755	0	7.461067	0	1443.365172	0	1016.659667	16384	1005.985333	16384	403.081117	16384	66666.000000	1	398.146833	16384	50.000783	16384	395.291333	0	0.000000	0	26.000000	0	7.729000	0	0.298327	0	4.014241	0	19.798714	0	2.932143	0	18.687000	0	6.958714	0	5.707500	0
