$METADATA
$Version 1.1
$Project; FerryBox
$Device; 731803
$DateTime; 2021.12.11 00:00:01
$Filename; C:\Working\All_sensors_731803_2021-12-11.txt
$Watertimedelay; 00:01:00
$TrackStart: Unknown
$TrackEnd: Unknown
$FORMATS
$1; DateTime; YYYY.MM.DD hh:mm:ss
$2; Measdata; Float


$DATASETS
Units	Deg	Deg	Nm		Deg		m		ml/l		%		DegC		ml/l		mbar		l/min		l/min		l/min		l/min		l/min		l/min		l/min		bool		bool		pH		DegC		DegC		DegC		S/m		psu		m/s		mbar		mbar		DegC		ppm		uatm		ppm		uatm		uatm		PSU		pH		µg/l		NTU		DegC		µg/l		DegC		µg/l		ppb	
Date Time	Latitude	Longitude	Speed	Quality	Course	Quality	Height	Quality	Optode_O2Concentration	Quality	Optode_AirSaturation	Quality	Optode_Temperature	Quality	O2_Corr	Quality	pressure	Quality	flow_in	Quality	flow_main	Quality	flow_FLNTU	Quality	flow_OSCAR	Quality	flow_pCO2	Quality	flow_IFCB	Quality	flow_EXTERN	Quality	halffull	Quality	full	Quality	pH	Quality	pH_Temp	Quality	SBE38_Temp	Quality	SBE45_Temp	Quality	SBE45_Cond	Quality	SBE45_Salinity	Quality	SBE45_SoundVel	Quality	HydroC_P_NDIR	Quality	HydroC_P_In	Quality	HydroC_T_Sensor	Quality	HydroC_Conc_Estimate	Quality	HydroC_pCO2_Corr	Quality	HydroC_XCO2_Corr	Quality	HydroC_Corr_Zero	Quality	HydroC_pCO2_Comp	Quality	HydroFIA_salinity	Quality	HydroFIA_pH	Quality	WetLabs_Chlorophyll-A	Quality	WetLabs_Turbidity	Quality	nanoFlu_A_Sens_Temp	Quality	nanoFlu_A_blue	Quality	nanoFlu_B_Sens_Temp	Quality	nanoFlu_B_CDOM	Quality	Cycl_Phycoerythrin	Quality
2021.12.10 23:59:00	64.121874	22.051745	11.964377	0	37.793893	0	-2.000000	0	8.253950	0	86.304000	0	2.411667	0	8.094189	0	157.083333	0	30.008080	0	5.501991	0	0.881481	0	0.108542	0	2.073967	0	-0.000168	0	41.622337	0	1.000000	0	1.000000	0	7.744407	0	0.000000	0	2.211612	0	2.515059	0	0.309373	0	2.887460	0	1418.537276	0	1008.931667	0	998.702500	0	453.390067	0	450.583667	0	457.147000	0	50.000000	0	99999.000000	1	0.000000	0	26.000000	0	7.729000	0	0.330648	0	3.825438	0	16.055357	0	2.924589	0	14.875000	0	33.891143	0	8.868750	0
2021.12.11 00:00:00	64.124494	22.056502	12.000000	0	38.088773	0	-1.819843	0	8.251244	0	86.305750	0	2.424583	0	8.091862	0	153.104167	0	29.987579	0	5.507310	0	0.916055	0	0.044048	0	2.114525	0	-0.000666	0	41.555848	0	1.000000	0	1.000000	0	7.745161	0	0.000000	0	2.224539	0	2.527938	0	0.309888	0	2.891390	0	1418.603086	0	1015.922432	0	1000.061892	0	79.897973	0	450.085455	0	155.148649	0	49.999027	0	99999.000000	1	0.000000	0	26.000000	0	7.729000	0	0.328658	0	3.817035	0	16.050929	0	3.058357	0	14.875000	0	33.724321	0	8.807609	0
2021.12.11 00:01:00	64.127119	22.061216	12.000000	0	37.430939	0	-1.969613	0	8.249833	0	86.316000	0	2.435333	0	8.090504	0	155.479167	0	29.992566	0	5.502656	0	0.775929	0	0.074466	0	2.118681	0	-0.000002	0	41.489358	0	1.000000	0	1.000000	0	7.745876	0	0.000000	0	2.233099	0	2.538328	0	0.310265	0	2.894190	0	1418.655759	0	1019.081833	0	1000.942833	0	-78.201267	0	66666.000000	1	27.490167	0	50.000383	0	66666.000000	1	0.000000	0	26.000000	0	7.729000	0	0.327416	0	3.822839	0	16.045357	0	3.180804	0	14.875000	0	33.685018	0	8.843750	0
2021.12.11 00:02:00	64.129755	22.065955	11.846591	0	37.803977	0	-1.000000	0	8.248165	0	86.316500	0	2.442917	0	8.087776	0	155.895833	0	30.031351	0	5.498666	0	0.821973	0	0.038396	0	2.115523	0	-0.000002	0	41.680515	0	1.000000	0	1.000000	0	7.746826	0	0.000000	0	2.251567	0	2.545932	0	0.310533	0	2.896139	0	1418.694254	0	1009.921346	16384	999.034231	16384	171.065404	16384	99999.000000	1	189.163654	16384	50.003481	16384	199.724583	0	0.000000	0	26.000000	0	7.729000	0	0.330325	0	3.827170	0	16.042036	0	3.210518	0	14.866000	0	33.549321	0	8.718750	0
2021.12.11 00:03:00	64.132354	22.070642	11.504178	0	37.607242	0	-1.000000	0	8.242381	0	86.297833	0	2.461000	0	8.083136	0	154.187500	0	30.032459	0	5.506146	0	0.838263	0	0.181514	0	2.116686	0	-0.000666	0	41.580781	0	1.000000	0	1.000000	0	7.746826	0	0.000000	0	2.251169	0	2.563917	0	0.311019	0	2.899314	0	1418.783172	0	1008.835424	16384	998.656780	16384	291.285237	16384	99999.000000	1	282.123051	16384	50.001136	16384	278.060000	0	0.000000	0	26.000000	0	7.729000	0	0.326435	0	3.824693	0	16.017661	0	2.832357	0	14.812000	0	33.431571	0	8.762500	0
2021.12.11 00:04:00	64.134969	22.075304	11.118310	0	37.757746	0	-1.000000	0	8.241909	0	86.300000	0	2.464000	0	8.082214	0	154.458333	0	30.019161	0	5.510136	0	0.904253	0	0.163895	0	2.113861	0	-0.000500	0	41.481047	0	1.000000	0	1.000000	0	7.746826	0	0.000000	0	2.245762	0	2.566328	0	0.310921	0	2.898129	0	1418.792966	0	1008.840000	16384	998.632333	16384	323.086167	16384	66666.000000	1	313.448500	16384	50.000117	16384	308.926500	0	0.000000	0	26.000000	0	7.729000	0	0.328062	0	3.827170	0	15.998875	0	2.948768	0	14.812000	0	33.469321	0	8.856250	0
2021.12.11 00:05:00	64.137546	22.079922	11.000000	0	37.534091	0	-1.000000	0	8.240259	0	86.281333	0	2.463417	0	8.080902	0	154.229167	0	30.023040	0	5.502988	0	0.803854	0	0.116022	0	2.110370	0	-0.000334	0	41.564159	0	1.000000	0	1.000000	0	7.746826	0	0.000000	0	2.244513	0	2.565536	0	0.310743	0	2.896443	0	1418.787034	0	1008.844500	16384	998.630500	16384	348.561467	16384	66666.000000	1	339.647333	16384	50.001350	16384	334.746167	0	0.000000	0	26.000000	0	7.729000	0	0.327388	0	3.904675	0	15.994375	0	2.897571	0	14.812000	0	33.392571	0	8.600000	0
2021.12.11 00:06:00	64.140123	22.084600	11.000000	0	37.737430	0	-0.865922	0	8.240823	0	86.279667	0	2.460167	0	8.080680	0	156.583333	0	30.031351	0	5.504650	0	0.911733	0	0.170211	0	2.109871	0	-0.000002	0	41.730382	0	1.000000	0	1.000000	0	7.746826	0	0.000000	0	2.251504	0	2.562419	0	0.310543	0	2.894743	0	1418.770052	0	1008.824167	16384	998.635000	16384	368.301633	16384	66666.000000	1	360.630500	16384	50.001083	16384	355.429000	0	0.000000	0	26.000000	0	7.729000	0	0.330648	0	4.091321	0	15.991600	0	2.981350	0	14.812000	0	33.523967	0	8.787500	0
2021.12.11 00:07:00	64.142675	22.089268	11.000000	0	38.516760	0	-0.217877	0	8.239563	0	86.273417	0	2.463083	0	8.080330	0	157.375000	0	30.018607	0	5.502489	0	0.912565	0	0.117851	0	2.114359	0	-0.000334	0	41.680515	0	1.000000	0	1.000000	0	7.746826	0	0.000000	0	2.266253	0	2.565724	0	0.310637	0	2.895383	0	1418.786448	0	1008.820164	16384	998.655574	16384	384.161705	16384	66666.000000	1	377.899016	16384	50.001000	16384	372.455738	0	0.000000	0	26.000000	0	7.729000	0	0.328340	0	3.884254	0	15.988750	0	2.851054	0	14.812000	0	33.571893	0	8.793750	0
